Sub,Crse,Sec,Day,Time,Room,Instructor
ACC,201,01,TR,09:30 am-10:45 am,SCIENC 137,"Guo, M (P)"
ACC,201,02,W,04:00 pm-06:45 pm,SCIENC 132,"Staff, * (P)"
ACC,201,03,TR,02:00 pm-03:15 pm,SCIENC 117,"Guo, M (P)"
ACC,202,01,M,04:00 pm-06:45 pm,SCIENC 132,"Staff, * (P)"
ACC,301,01,TR,12:30 pm-01:45 pm,SCIENC 117,"Guo, M (P)"
ACC,302,01,TR,02:00 pm-03:15 pm,SCIENC 132,"Staff, * (P)"
ACC,303,01,W,04:00 pm-06:45 pm,COMBLD 201,"Guo, M (P)"
ACC,310,01,TR,11:00 am-12:15 pm,SCIENC 115,"RuJoub, M (P)"
ACC,410,01,T,04:00 pm-06:45 pm,SCIENC 117,"Staff, * (P)"
ACC,411,01,M,04:00 pm-06:45 pm,SCIENC 134,"Staff, * (P)"
ACC,412,01,TR,12:30 pm-01:45 pm,SCIENC 132,"Staff, * (P)"
ACC,416,01,R,04:00 pm-06:45 pm,COMBLD 201,"Staff, * (P)"
ACC,420,01,TR,09:30 am-10:45 am,SCIENC 115,"RuJoub, M (P)"
ACC,480,01, ,TBA,TBA,"Staff, * (P)"
ACC,490,01, ,TBA,TBA,"Staff, * (P)"
ACC,530,E25, ,TBA,ONLINE,"Staff, * (P)"
ACC,535,E25, ,TBA,ONLINE,"Staff, * (P)"
ANT,101,01,MWF,08:00 am-08:50 am,WEBB 315,"Williamson, E (P)"
ANT,106,01,TR,08:00 am-09:15 am,LIBRAR 436,"Shepard-Torres, R (P)"
ANT,107,01,TR,11:00 am-12:15 pm,SCIENC 117,"Leiss, A (P)"
ANT,125,01,TR,02:00 pm-03:15 pm,SCIENC 116,"Leiss, A (P)"
ANT,201,E25, ,TBA,ONLINE,"Couture-Palmerino, P (P)"
ANT,221,E25, ,TBA,ONLINE,"Leiss, A (P)"
ANT,222,E25, ,TBA,ONLINE,"Couture-Palmerino, P (P)"
ANT,240,01X,T,04:00 pm-06:45 pm,WEBB 317,"Perez, R (P)"
ANT,300,01,TR,11:00 am-12:15 pm,COMBLD 107,"Shepard-Torres, R (P)"
ANT,301,01,MW,05:30 pm-06:45 pm,WEBB 317,"Perez, R (P)"
ANT,337,01,MW,04:00 pm-05:15 pm,WEBB 317,"Perez, R (P)"
ANT,345,01,MWF,09:00 am-09:50 am,WEBB 315,"Williamson, E (P)"
ANT,365,01,W,04:00 pm-06:45 pm,WEBB 213,"Leiss, A (P)"
ANT,480,01, ,TBA,TBA,"Staff, * (P)"
ANT,490,01, ,TBA,TBA,"Staff, * (P)"
ANT,492,01, ,TBA,TBA,"Staff, * (P)"
ART,110,01,TR,09:30 am-12:15 pm,FAIC 326,"McKee, M (P)"
ART,111,01,MW,12:00 pm-02:45 pm,FAIC 125,"de Sousa, D (P)"
ART,122,01,WF,12:00 pm-02:45 pm,FAIC 327,"Moran, R (P)"
ART,124,01,WF,09:00 am-11:45 am,FAIC 327,"Holland, J (P)"
ART,124,02,TR,09:30 am-12:15 pm,FAIC 330,"Staff, * (P)"
ART,140,01,TR,09:30 am-10:45 am,FAIC 305,"Franco, B (P)"
ART,140,02,TR,11:00 am-12:15 pm,FAIC 305,"Pinckney, S (P)"
ART,140,03,TR,02:00 pm-03:15 pm,FAIC 305,"Pinckney, S (P)"
ART,140,04,MWF,12:00 pm-12:50 pm,FAIC 305,"Petrikovsky, H (P)"
ART,201,01X,TR,12:30 pm-03:15 pm,FAIC 247,"Michael, S (P)"
ART,202,01,TR,04:00 pm-06:45 pm,FAIC 331,"Liu, Q (P)"
ART,202,02,MW,12:00 pm-02:45 pm,FAIC 331,"Rahmanifar, A (P)"
ART,203,01,TR,12:30 pm-03:15 pm,FAIC 327,"Chen, T (P)"
ART,206,01X,MW,09:00 am-11:45 am,FAIC 122,"Greene, R (P)"
ART,207,01,MW,09:00 am-11:45 am,FAIC 125,"Elia, A (P)"
ART,211,01,TR,02:00 pm-03:50 pm,FAIC 115,"Beeby, C (P)"
ART,211,02,TR,04:00 pm-05:50 pm,FAIC 115,"Beeby, C (P)"
ART,219,01,T,12:30 pm-03:15 pm,FAIC 326,"Rahmanifar, A (P)"
ART,219,02,M,04:00 pm-06:45 pm,FAIC 326,"Liu, Q (P)"
ART,229,01,TR,11:00 am-12:15 pm,FAIC 115,"Doyle, M (P)"
ART,235,01,F,12:00 pm-02:45 pm,FAIC 125,"Bartone, K (P)"
ART,304,01X,MW,09:00 am-11:45 am,FAIC 122,"Greene, R (P)"
ART,309,01X,TR,07:00 pm-09:45 pm,FAIC 331,"Liu, Q (P)"
ART,310,01,TR,09:30 am-12:15 pm,FAIC 327,"Chen, T (P)"
ART,311,01X,TR,12:30 pm-03:15 pm,FAIC 247,"Michael, S (P)"
ART,314,01,MW,04:00 pm-06:45 pm,FAIC 323,"Rahmanifar, A (P)"
ART,322,01,TR,04:00 pm-06:45 pm,FAIC 328,"Opie, D (P)"
ART,323,01,M,09:00 am-11:45 am,FAIC 330,"Li, L (P)"
ART,330,01,TR,12:30 pm-03:15 pm,FAIC 330,"Kim, S (P)"
ART,331,01,TR,09:30 am-12:15 pm,FAIC 328,"Drew, T (P)"
ART,345,01,MW,04:00 pm-05:50 pm,FAIC 305,"Wintner, J (P)"
ART,351,01,M,09:00 am-11:45 am,FAIC 327,"Chen, T (P)"
ART,357,01,M,04:00 pm-06:45 pm,FAIC 327,"Kim, S (P)"
ART,371,01,MW,04:00 pm-05:15 pm,FAIC 115,"Petrikovsky, H (P)"
ART,402,01,TR,04:00 pm-05:50 pm,FAIC 305,"Churchill, S (P)"
ART,432,01,WF,09:00 am-11:45 am,FAIC 330,"Staff, * (P)"
ART,470,01X,TR,07:00 pm-09:45 pm,FAIC 331,"Liu, Q (P)"
ART,480,01, ,TBA,TBA,"Staff, * (P)"
ART,486,01, ,TBA,TBA,"Doyle, M (P)"
ART,487,01, ,TBA,TBA,TBA
ART,490,01, ,TBA,TBA,"Staff, * (P)"
AST,214,01,TR,09:30 am-10:45 am,PLANET PLT,"Kerr, M (P)"
AST,214,01A,T,11:00 am-12:00 pm,PLANET PLT,"Kerr, M (P)"
AST,214,01B,R,11:00 am-12:00 pm,PLANET PLT,"Kerr, M (P)"
AST,214,02,TR,12:30 pm-01:45 pm,PLANET PLT,"Pazameta, Z (P)"
AST,214,02A,W,02:00 pm-03:00 pm,SCIENC 431,"Pazameta, Z (P)"
AST,214,02B,W,04:00 pm-05:00 pm,SCIENC 431,"Pazameta, Z (P)"
AST,380,01, ,TBA,TBA,"Staff, * (P)"
AST,480,01, ,TBA,TBA,"Staff, * (P)"
AST,490,01, ,TBA,TBA,"Staff, * (P)"
AST,495,01, ,TBA,TBA,"Staff, * (P)"
BIO,120,01,MWF,09:00 am-09:50 am,SCIENC 231,"Hulvey, J (P)"
BIO,120,01,R,09:30 am-12:20 pm,SCIENC 331,"Hulvey, J (P)"
BIO,140,01,MWF,12:00 pm-12:50 pm,SCIENC 116,"Murdoch, B (P)"
BIO,140,01A,W,02:00 pm-04:50 pm,SCIENC 334,"Murdoch, B (P)"
BIO,140,01B,R,11:00 am-01:50 pm,SCIENC 334,"Cowles, E (P)"
BIO,180,01, ,TBA,TBA,TBA
BIO,200,01,TR,04:00 pm-05:15 pm,SCIENC 104,"Wasielewski, T (P)"
BIO,200,02,TR,11:00 am-12:15 pm,SCIENC 116,"Kwaku, K (P)"
BIO,200,03,TR,09:30 am-10:45 am,SCIENC 116,"Kwaku, K (P)"
BIO,204,01,TR,11:00 am-12:15 pm,SCIENC 320,"Lucin, K (P)"
BIO,204,02,TR,12:30 pm-01:45 pm,SCIENC 320,"Lucin, K (P)"
BIO,204,03,TR,08:00 am-09:15 am,SCIENC 320,"Pasini, J (P)"
BIO,204,04,TR,09:30 am-10:45 am,SCIENC 320,"Pasini, J (P)"
BIO,204,05,M,04:00 pm-06:45 pm,SCIENC 320,"Jacobs, M (P)"
BIO,204,06,TR,05:30 pm-06:45 pm,SCIENC 320,"Jacobs, M (P)"
BIO,222,01,MWF,12:00 pm-12:50 pm,SCIENC 137,"Connolly, B (P)"
BIO,222,01,R,02:00 pm-04:50 pm,SCIENC 331,"Connolly, B (P)"
BIO,230,01,MWF,10:00 am-10:50 am,SCIENC 134,"Groth, A (P)"
BIO,230,01,T,02:00 pm-04:50 pm,SCIENC 335,"Groth, A (P)"
BIO,230,02,MWF,09:00 am-09:50 am,SCIENC 320,"Veerappan, V (P)"
BIO,230,02,W,02:00 pm-04:50 pm,SCIENC 335,"Veerappan, V (P)"
BIO,240,01,MWF,09:00 am-09:50 am,SCIENC 116,"Mattingly, B (P)"
BIO,240,01,T,11:00 am-01:50 pm,SCIENC 331,"Mattingly, B (P)"
BIO,240,02,MWF,11:00 am-11:50 am,SCIENC 116,"Epp, K (P)"
BIO,240,02,T,02:00 pm-04:50 pm,SCIENC 331,"Epp, K (P)"
BIO,280,01, ,TBA,TBA,"Staff, * (P)"
BIO,301,01X,TR,04:00 pm-05:15 pm,SCIENC 116,"Cowles, E (P)"
BIO,302,01X,R,11:00 am-12:50 pm,SCIENC 341,"Murdoch, B (P)"
BIO,302,02X,R,02:00 pm-03:50 pm,SCIENC 341,"Murdoch, B (P)"
BIO,304,01,MWF,10:00 am-10:50 am,SCIENC 116,"Veerappan, V (P)"
BIO,304,02,MWF,12:00 pm-12:50 pm,SCIENC 114,"Veerappan, V (P)"
BIO,305,01,MWF,01:00 pm-01:50 pm,SCIENC 116,"Graham, M (P)"
BIO,305,02,MWF,02:00 pm-02:50 pm,SCIENC 116,"Graham, M (P)"
BIO,314,01,R,09:30 am-11:20 am,SCIENC 315,"Graesser, D (P)"
BIO,314,02,R,12:30 pm-02:20 pm,SCIENC 315,"Graesser, D (P)"
BIO,314,03,R,04:00 pm-05:50 pm,SCIENC 315,"Graesser, D (P)"
