Sub,Crse,Sec,Day,Time,Room,Instructor
ACC,201,01,T,04:00 pm-06:45 pm,GODDAR 223,"Misiko, C (P)"
ACC,201,02,TR,09:30 am-10:45 am,SCIENC 137,"Guo, M (P)"
ACC,201,03,TR,11:00 am-12:15 pm,SCIENC 137,"Guo, M (P)"
ACC,202,01,M,04:00 pm-06:45 pm,WEBB 216,"Misiko, C (P)"
ACC,301,01,TR,02:00 pm-03:15 pm,GODDAR 216,"Guo, M (P)"
ACC,302,01,TR,11:00 am-12:15 pm,SCIENC 132,"Foy, L (P)"
ACC,303,01,W,04:00 pm-06:45 pm,WEBB 315,"Guo, M (P)"
ACC,311,01,TR,09:30 am-10:45 am,SCIENC 115,"RuJoub, M (P)"
ACC,410,01,R,04:00 pm-06:45 pm,WEBB 113,"Capalbo, H (P)"
ACC,411,01,T,04:00 pm-06:45 pm,WEBB 113,"Vail, M (P)"
ACC,412,01,M,04:00 pm-06:45 pm,WEBB 315,"Green, B (P)"
ACC,416,01,TR,12:30 pm-01:45 pm,SCIENC 132,"Foy, L (P)"
ACC,420,01,TR,11:00 am-12:15 pm,SCIENC 115,"RuJoub, M (P)"
ACC,480,01, ,TBA,TBA,TBA
ACC,490,01, ,TBA,TBA,TBA
ACC,492,01, ,TBA,TBA,TBA
ACC,520,E25, ,TBA,TBA,"Vail, M (P)"
ACC,531,E25, ,TBA,TBA,"Capalbo, H (P)"
ANT,106,01,TR,09:30 am-10:45 am,WEBB 110,"Shepard-Torres, R (P)"
ANT,125,01,TR,02:00 pm-03:15 pm,WEBB 112,"Leiss, A (P)"
ANT,201,E25, ,TBA,ONLINE,"Couture-Palmerino, P (P)"
ANT,221,E25, ,TBA,ONLINE,"Leiss, A (P)"
ANT,222,E25, ,TBA,ONLINE,"Couture-Palmerino, P (P)"
ANT,302,01X,TR,09:30 am-10:45 am,GODDAR 223,"Carroll, S (P)"
ANT,337,01,MWF,08:00 am-08:50 am,WEBB 214,"Williamson, E (P)"
ANT,345,01,MWF,09:00 am-09:50 am,WEBB 215,"Williamson, E (P)"
ANT,364,01,TR,11:00 am-12:15 pm,SCIENC 116,"Shepard-Torres, R (P)"
ANT,365,01,TR,11:00 am-12:15 pm,SCIENC 432,"Leiss, A (P)"
ANT,400,01,W,04:00 pm-06:45 pm,WEBB 317,"Leiss, A (P)"
ANT,480,01, ,TBA,TBA,TBA
ANT,490,01, ,TBA,TBA,"Leiss, A (P)"
ART,110,01,MW,09:00 am-11:45 am,FAIC 328,"Guarino, B (P)"
ART,110,02,TR,09:30 am-12:15 pm,FAIC 326,"McKee, M (P)"
ART,111,01,MW,09:00 am-11:45 am,FAIC 125,"Elia, A (P)"
ART,111,02,TR,12:00 pm-02:45 pm,FAIC 125,"Greene, R (P)"
ART,122,01,TR,04:00 pm-06:45 pm,FAIC 327,"Opie, D (P)"
ART,124,01,TR,09:30 am-12:15 pm,FAIC 327,"Chen, T (P)"
ART,140,01,TR,09:30 am-10:45 am,FAIC 305,"Pinckney, S (P)"
ART,140,02,TR,12:30 pm-01:45 pm,FAIC 305,"Franco, B (P)"
ART,140,03,TR,04:00 pm-05:15 pm,FAIC 305,"Beeby, C (P)"
